Fecha,Índice general,"1. Alimentos, bebidas y tabaco","1. Alimentos, bebidas y tabaco, 1.1. Alimentos",1.1.6. Frutas y hortalizas,046 Aguacate,047 Durazno,048 Guayaba,049 Limón,050 Manzana,051 Melón,052 Naranja,055 Papaya,056 Pera,057 Piña,058 Plátanos,059 Sandía,060 Uva,061 Calabacita,062 Cebolla,063 Chayote,064 Chile poblano,066 Chile serrano,068 Ejotes,071 Jitomate,072 Lechuga y col,073 Nopales,077 Papa y otros tubérculos,079 Pepino,080 Tomate verde,082 Zanahoria,065 Chile seco,069 Frijol
Ene 2003,54.36052731,41.38241108,41.03346469,51.93963466,31.95503749,48.01184458,50.38508768,41.87778173,45.66415596,90.99416796,24.09511308,43.23115998,33.37885002,59.50235877,38.20344404,70.51029515,56.34238144,83.16632273,66.76049,51.44909807,54.40393016,77.04177737,50.85446143,55.66914843,71.72061577,74.00167072,38.71983458,45.42218709,58.74427943,59.63491239,38.50562595,52.32027177
Feb-03,54.56956148,41.67503886,41.34366107,46.75961949,30.62002325,52.26121988,49.55269829,67.34637341,48.20699589,86.78074044,21.97721406,47.05529603,33.02507868,50.38043196,42.69333169,66.74828587,56.81585089,60.31655698,80.51093248,57.3801001,48.28968167,65.11876338,46.97090208,30.45830338,68.66355734,63.25740044,40.07506357,46.94056649,53.59472754,61.87680886,39.02735122,51.71118269
Mar-03,54.84368731,42.23526969,41.9520617,50.29774671,29.86614539,51.01049241,49.55269829,101.5416587,49.73189089,66.55167758,21.04767045,42.25550548,34.38204689,38.08043526,44.68499567,57.58271707,49.70801752,61.39687131,79.03231015,61.10841992,59.32818001,59.5131129,49.63172423,46.56713159,70.09646978,55.82320515,46.02736004,44.5397375,54.78771776,59.06030622,38.23325468,51.79415309
Abr 2003,54.94158939,42.4576668,42.21788721,50.31643561,31.21694096,49.98462606,49.55269829,62.04872507,49.85413417,67.6582617,23.89518907,48.91036138,34.96220486,39.15613101,44.36819486,55.7073362,45.06792042,68.16783454,76.98949068,60.06712078,74.52349493,59.54158142,47.44950332,46.54408659,63.30419696,57.51584288,44.3980945,45.51622984,60.73095118,66.1881034,37.71843461,51.87712349
May-03,55.22259482,42.74948733,42.54767073,52.31569173,32.94392904,51.65109673,51.04411209,48.15844822,51.78126348,69.16354156,30.90577931,50.5076755,39.0293927,39.68323535,46.29593584,58.30907197,48.71522787,67.48239372,74.55386226,47.50119622,67.51504356,53.00242827,46.1336921,53.52369731,64.16126609,52.36711587,45.27723714,47.55367037,52.72059197,67.29593943,35.88280566,51.87712349
Jun-03,55.30620849,42.5186141,42.28024627,49.74072642,36.54441554,50.67719828,50.35243332,47.05005088,52.53674491,64.34189961,35.35357336,48.52703904,37.9883521,39.18198262,45.83842401,59.37936509,49.87790666,65.8634123,73.59792068,47.10949391,68.39902308,53.98492329,43.23607868,41.88597562,64.1762648,36.94161497,42.93818912,48.16586122,49.48910379,73.45051927,35.97602568,51.28529994
Jul-03,55.38029655,42.65584644,42.38817543,49.39840054,33.04991978,49.69230662,48.47451061,47.33932937,53.80906372,60.92315137,39.07763659,44.41004141,38.46308824,37.38277741,44.50247338,57.53239909,49.37113508,64.85462223,67.49501082,51.27068768,53.84846115,46.73273298,39.09793449,46.28983609,65.20421208,38.32530402,39.52281732,49.42037312,47.39680527,59.11625165,36.31706521,50.83687609
Ago 2003,55.46602702,42.65746094,42.39577044,49.54244179,34.96713673,45.16810108,47.90929328,44.52131883,48.9809037,62.99867465,38.17194253,43.96475964,32.82910219,36.59816412,39.61658472,51.63335542,49.69402097,70.86862037,62.76373873,49.78564986,52.01711729,50.16153466,39.24165174,49.61927097,62.96726166,49.63671135,43.39653959,46.1087904,49.04142397,56.81607869,36.69186343,48.19908877
Sep-03,55.50518786,42.56543455,42.31822135,49.03282748,38.93827096,41.9930622,46.93856814,41.56206787,46.89198181,72.3700589,36.33405491,41.94777364,35.17811688,38.86471281,39.83046547,49.6745059,47.81703558,69.99319324,61.83600701,35.16228746,50.91095017,55.40172877,50.15868747,50.87352307,57.43648746,49.80653912,39.33676459,43.45596339,50.71318974,65.85942401,38.68707893,43.66545176
Oct-03,55.5549327,42.40277387,42.16911922,47.94112242,34.31690375,44.83280818,46.51049913,43.67500931,48.79484224,69.74734605,33.76124778,41.49051305,36.78748929,41.66340187,40.62528172,51.85001874,46.76053749,83.10746422,64.82092926,42.67896907,59.90886663,55.92740333,53.59284527,47.27057057,52.66154109,44.19219573,39.01230253,43.24368245,48.65840353,61.97296507,38.77876447,42.65302102
